name,cpu,memory,gpu,disk,net
node-1,32,240,0,1572864.0,10000
node-2,32,240,0,1572864.0,10000
node-3,32,240,0,1572864.0,10000
node-4,32,240,0,1572864.0,10000
node-5,32,240,0,1572864.0,10000
node-6,32,240,0,1572864.0,10000
node-7,32,240,0,1572864.0,10000
node-8,32,240,0,1572864.0,10000
node-9,32,240,0,1572864.0,10000
node-10,32,240,0,1572864.0,10000
node-11,32,240,0,1572864.0,10000
node-12,32,240,0,1572864.0,10000
node-13,32,240,0,1572864.0,10000
node-14,32,240,0,1572864.0,10000
node-15,32,240,0,1572864.0,10000
node-16,32,240,0,1572864.0,10000
node-17,32,240,0,1572864.0,10000
node-18,32,240,0,1572864.0,10000
node-19,32,240,0,1572864.0,10000
