name,node
equipt-7,node-1
equipt-21,node-1
equipt-23,node-1
equipt-1,node-1
equipt-19,node-1
equipt-36,node-1
equipt-14,node-1
equipt-37,node-1
equipt-17,node-1
equipt-9,node-2
aigc-7,node-2
equipt-22,node-2
equipt-31,node-1
equipt-27,node-2
equipt-29,node-2
aigc-2,node-2
equipt-2,node-2
equipt-26,node-2
equipt-8,node-2
equipt-24,node-2
equipt-34,node-3
command_center-1,node-3
aigc-3,node-3
equipt-16,node-3
equipt-40,node-3
aigc-9,node-3
equipt-33,node-3
aigc-6,node-3
equipt-28,node-3
equipt-18,node-3
equipt-20,node-4
equipt-10,node-4
aigc-10,node-4
equipt-30,node-4
aigc-4,node-4
equipt-11,node-4
equipt-39,node-4
aigc-8,node-4
command_node-2,node-3
equipt-25,node-4
equipt-35,node-5
equipt-3,node-5
equipt-32,node-5
aigc-1,node-5
equipt-4,node-5
equipt-6,node-5
equipt-12,node-5
equipt-13,node-4
equipt-15,node-5
aigc-5,node-5
command_node-1,node-5
equipt-5,node-5
equipt-38,node-6
