target,source,frequency,package,count
command_node-2,command_center-1,1,8,6000
equipt-51,command_center-1,2,9,6000
equipt-52,command_center-1,2,7,6000
command_node-2,command_node-1,6,1,6000
command_node-3,command_node-2,6,2,6000
equipt-21,command_node-2,6,1,6000
equipt-22,command_node-2,6,2,6000
equipt-23,command_node-2,6,2,6000
equipt-24,command_node-2,5,1,6000
equipt-25,command_node-2,5,2,6000
equipt-26,command_node-2,6,2,6000
equipt-27,command_node-2,5,1,6000
equipt-28,command_node-2,6,2,6000
equipt-29,command_node-2,6,1,6000
equipt-30,command_node-2,5,2,6000
equipt-11,command_node-3,5,2,6000
equipt-12,command_node-3,5,1,6000
equipt-13,command_node-3,6,2,6000
equipt-14,command_node-3,5,2,6000
equipt-15,command_node-3,6,2,6000
equipt-16,command_node-3,5,1,6000
equipt-17,command_node-3,6,2,6000
equipt-18,command_node-3,6,2,6000
equipt-19,command_node-3,6,1,6000
equipt-20,command_node-3,6,1,6000
command_node-1,equipt-1,10,1,6000
command_node-1,equipt-2,6,1,6000
command_node-1,equipt-3,7,2,6000
command_node-1,equipt-4,10,3,6000
command_node-1,equipt-5,7,5,6000
command_node-1,equipt-6,9,1,6000
command_node-1,equipt-7,8,5,6000
command_node-1,equipt-8,9,1,6000
command_node-1,equipt-9,9,3,6000
command_node-1,equipt-10,9,4,6000
equipt-1,equipt-31,8,5,6000
equipt-2,equipt-32,7,3,6000
equipt-3,equipt-33,6,5,6000
equipt-4,equipt-34,8,4,6000
equipt-5,equipt-35,9,1,6000
equipt-6,equipt-36,9,5,6000
equipt-7,equipt-37,8,3,6000
equipt-8,equipt-38,9,2,6000
equipt-9,equipt-39,7,2,6000
equipt-10,equipt-40,8,3,6000
equipt-1,equipt-41,10,2,6000
equipt-2,equipt-42,8,2,6000
equipt-3,equipt-43,8,5,6000
equipt-4,equipt-44,7,4,6000
equipt-5,equipt-45,10,5,6000
equipt-6,equipt-46,10,4,6000
equipt-7,equipt-47,10,2,6000
equipt-8,equipt-48,6,1,6000
equipt-9,equipt-49,8,3,6000
equipt-10,equipt-50,10,5,6000
equipt-31,aigc-1,1,8,6000
equipt-32,aigc-2,1,8,6000
equipt-33,aigc-3,2,8,6000
equipt-34,aigc-4,2,6,6000
equipt-35,aigc-5,2,7,6000
equipt-36,aigc-6,2,8,6000
equipt-37,aigc-7,1,6,6000
equipt-38,aigc-8,2,6,6000
equipt-39,aigc-9,1,6,6000
equipt-40,aigc-10,2,6,6000
equipt-41,aigc-11,1,6,6000
equipt-42,aigc-12,1,6,6000
equipt-43,aigc-13,1,9,6000
equipt-44,aigc-14,2,9,6000
equipt-45,aigc-15,1,7,6000
equipt-46,aigc-16,1,6,6000
equipt-47,aigc-17,1,7,6000
equipt-48,aigc-18,1,6,6000
equipt-49,aigc-19,2,6,6000
equipt-50,aigc-20,1,8,6000
equipt-51,aigc-21,1,7,6000
equipt-52,aigc-22,1,9,6000
