name,cpu,mem,gpu,disk,platform
command_center-1,3,10,0,2048,
command_node-1,2,3,0,1024,
command_node-2,2,3,0,1024,
command_node-3,2,1,0,1024,
equipt-1,3,6,0,2048,
equipt-2,3,6,0,2048,
equipt-3,3,6,0,2048,
equipt-4,3,6,0,2048,
equipt-5,3,6,0,2048,
equipt-6,3,5,0,2048,
equipt-7,4,7,0,2048,
equipt-8,4,7,0,2048,
equipt-9,4,7,0,2048,
equipt-10,3,5,0,2048,
equipt-11,2,4,0,2048,
equipt-12,4,7,0,2048,
equipt-13,3,6,0,2048,
equipt-14,4,7,0,2048,
equipt-15,3,5,0,2048,
equipt-16,3,5,0,2048,
equipt-17,3,6,0,2048,
equipt-18,4,7,0,2048,
equipt-19,4,7,0,2048,
equipt-20,3,6,0,2048,
equipt-21,4,7,0,2048,
equipt-22,4,7,0,2048,
equipt-23,2,4,0,2048,
equipt-24,3,5,0,2048,
equipt-25,3,5,0,2048,
equipt-26,3,5,0,2048,
equipt-27,3,5,0,2048,
equipt-28,2,4,0,2048,
equipt-29,4,7,0,2048,
equipt-30,4,7,0,2048,
equipt-31,2,4,0,2048,
equipt-32,2,4,0,2048,
equipt-33,4,7,0,2048,
equipt-34,3,6,0,2048,
equipt-35,3,5,0,2048,
equipt-36,4,7,0,2048,
equipt-37,2,4,0,2048,
equipt-38,3,5,0,2048,
equipt-39,3,6,0,2048,
equipt-40,3,6,0,2048,
equipt-41,4,7,0,2048,
equipt-42,3,5,0,2048,
equipt-43,3,6,0,2048,
equipt-44,3,6,0,2048,
equipt-45,3,6,0,2048,
equipt-46,3,6,0,2048,
equipt-47,2,4,0,2048,
equipt-48,4,7,0,2048,
equipt-49,3,5,0,2048,
equipt-50,2,4,0,2048,
equipt-51,3,6,0,2048,
equipt-52,2,4,0,2048,
aigc-1,4,7,0,2048,
aigc-2,2,4,0,2048,
aigc-3,4,7,0,2048,
aigc-4,3,6,0,2048,
aigc-5,3,6,0,2048,
aigc-6,3,5,0,2048,
aigc-7,2,4,0,2048,
aigc-8,3,6,0,2048,
aigc-9,3,5,0,2048,
aigc-10,4,7,0,2048,
aigc-11,2,4,0,2048,
aigc-12,3,5,0,2048,
aigc-13,4,7,0,2048,
aigc-14,2,4,0,2048,
aigc-15,3,6,0,2048,
aigc-16,4,7,0,2048,
aigc-17,3,5,0,2048,
aigc-18,2,4,0,2048,
aigc-19,3,5,0,2048,
aigc-20,2,4,0,2048,
aigc-21,3,6,0,2048,
aigc-22,3,6,0,2048,
